""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"Grin2c"	8.89869294746934	144269486.667404	1.85242549824454	0.00238193479679316	477.280289442059	0.145398526182306
"LOC100359600"	-8.41912367112071	-144269486.186669	0.825205199887918	0.327169899894634	-342.30146843136	0.999999955972958
"RGD1563958"	8.2272889262243	8.24426641911594	7.52370116504529	1.47026833194519e-09	299.682063054764	7.38248978932752e-06
"RGD1561381"	7.44817281736995	144269485.211496	0.518103020353294	0.176212683206967	174.631840388371	0.999999955972958
"P2rx5"	6.36199028190932	6.5222554417215	2.51934375548835	0.103375393930516	82.2526515367892	0.999999955972958
"AABR07060236.1"	-6.20619597626164	-6.23457064548456	4.19704370629426	0.0583414475697283	-73.8331075610285	0.879193460407561
"Stac3"	-6.15403629444713	-6.16812647540297	5.12857296032499	0.0174269593803151	-71.2113991880999	0.498685516330252
"Ciart"	6.11681752619623	144269483.867878	-0.5133116334897	0.00216480491648069	69.3977760966582	0.136732357191724
"Ucp3"	6.09431245605355	144269483.844318	-0.568156027915048	0.0195005004580728	68.3236174269179	0.530540395746608
"Mlc1"	-6.08655325538956	-6.25920582206978	1.59723554309207	0.0783627822815995	-67.9571410847057	0.999999955972958
"RGD1359290"	5.96418629302494	144269483.712736	-0.632641471508935	0.00411383959294018	62.4308106132922	0.212553276396663
"Elovl7"	5.8480366747452	144269483.593912	-0.743343901417913	0.0199890283827084	57.6015877779191	0.53819403358494
"Katnal2"	5.73478676728021	144269483.479821	-0.772884667528386	0.0766464877215152	53.2528475806524	0.999999955972958
"Acaa1a"	5.65781132870288	5.65814731064938	10.594048771132	5.61162040247118e-05	50.4859949769807	0.0123695515013312
"Slc6a11"	5.51924882379799	144269483.258792	-0.949943174857476	0.00732461234392988	45.8626821360786	0.291915059998991
"Slc16a5"	5.32198866727272	5.62281681185332	0.750204906175261	0.0284071015386779	40.0016794583814	0.648210627697245
"Adam22"	5.3057824789131	144269483.040733	-1.06954978037027	0.0117750803229821	39.5548440527267	0.391631922814695
"Rnf186"	5.25627137537324	5.41440334561977	1.49836055048081	7.64533625797516e-05	38.2204106870291	0.0140006429929274
"Aqp3"	5.2539763445088	5.36124988971873	1.97698859363098	0.0636853771970916	38.1596582155696	0.931691498701024
"Kcna7"	5.22097123337435	144269482.95345	-1.12525094718258	0.00950779413735946	37.2965746576374	0.346308257638748
"Plekhd1"	5.2052785891419	5.3125144464451	1.9574726946786	0.0395258382945082	36.8930865857212	0.739384950675542
"Pkdrej"	5.18862370450603	144269482.918779	-1.17048115357722	0.180474532513967	36.4696311787224	0.999999955972958
"S100b"	5.12697216146589	144269482.856556	-1.18421472125603	0.0106486818153524	34.9439831712173	0.371044271921807
"AABR07058831.1"	5.08980847085492	144269482.819078	-1.19246788597616	0.119952709023183	34.0553244254789	0.999999955972958
"LOC100360056"	5.07340032304664	144269482.802137	-1.20263552726058	0.213464168934938	33.670198539064	0.999999955972958
"RGD1306739"	5.04076995623444	5.34022733811658	0.536478048294542	0.0220465437265022	32.917205447852	0.570567706782303
"Mmp20"	5.02354248424632	144269482.749731	-1.24632159337564	0.0175336927265753	32.5264729273208	0.499330576132608
"Efcc1"	4.99368449645827	144269482.719612	-1.25279120518752	0.0222672913804167	31.8602238123178	0.573201786558167
"Ttc9"	4.99252351235	144269482.718422	-1.25315766741548	0.0168687955399159	31.8345951567406	0.492017873137024
"Pnpla5"	4.98235025234291	5.03670543729929	2.64929854987474	0.082855978292328	31.6109010162552	0.999999955972958
"AABR07017110.1"	4.91271927089473	144269482.636793	-1.2862638684218	0.187496742492066	30.1214490650294	0.999999955972958
"Ptx3"	4.90643816295098	144269482.628585	-1.31235241572089	0.022743722675566	29.9905934024139	0.576240693428043
"Mapk15"	4.87177580938117	144269482.593601	-1.31974459738177	0.0182355957023942	29.2786232135584	0.511268145400265
"Hdc"	4.83802058499565	4.84866800284112	4.80030076347274	0.0177058751110492	28.6015332915299	0.502256657316763
"Tsx"	4.79113881958787	4.87157102748545	1.94159414159806	0.000343167364131555	27.6870380839677	0.0384852888131102
"Slc5a8"	4.75233882605917	144269482.469376	-1.38715444508091	0.0554405210560062	26.9523437006778	0.862427976470153
"Chrna2"	4.72823698596692	4.88460883170305	1.03149674769134	2.3488892935176e-05	26.5058148133963	0.00666301596261159
"Lppr1"	-4.71148021895625	-5.16805124859682	-0.654200038652116	0.000536417764478669	-26.1997332661382	0.0517357053247527
"Lingo4"	-4.71007023691939	-144269482.425713	-1.70491913450879	0.0267059442406629	-26.1741401183481	0.628545112661336
"RT1-T18"	-4.71007023691939	-144269482.425713	-1.70491913450879	0.0267059442406629	-26.1741401183481	0.628545112661336
"RGD1560771"	-4.70891361880731	-144269482.424544	-1.70506924385082	0.0693554196640926	-26.1531645471514	0.974019155801983
"Nrg4"	4.63948924170445	144269482.350927	-1.45408393251472	0.0761459068356333	24.9244409703668	0.999999955972958
"Stc2"	4.63520924476102	144269482.346593	-1.45498667958686	0.0468291470040384	24.850608006644	0.801808137001979
"Krt23"	4.61729951737168	4.72306848339353	1.41467154645257	9.34578841131327e-06	24.5440176000701	0.00355804002490708
"Catip"	4.60116446727212	144269482.312194	-1.46194644393386	0.0344158094409291	24.2710474683253	0.707839474939876
"Fbp2"	4.56611178399502	4.72182955783434	0.895872727793303	6.9360271306379e-05	23.6884481432604	0.0130316239609011
"Shisa4"	4.49492903147455	4.55911999526428	1.97187227496785	0.136076274925677	22.5480228809171	0.999999955972958
"Ropn1l"	4.47404607112677	4.55376287507708	1.65424833279336	0.000826863826743254	22.223991863458	0.0691458900664431
"LOC681458"	4.47315733983261	4.47838428499096	5.44701101766283	0.0238788956181523	22.2103056205793	0.59326360510688
"Clca2"	4.46226770133168	4.61754433225468	0.814288750892233	0.235000012800861	22.0432906368333	0.999999955972958
"Erp27"	-4.45848378444851	-144269482.163165	-1.79841675416385	0.0352760834798054	-21.9855509978315	0.711966806895541
"AC097037.2"	4.43981035901401	144269482.143454	-1.53938924514062	0.0453232785906024	21.7028162356725	0.790217032272782
"Btnl7"	4.42475879636668	144269482.128114	-1.54330828488624	0.0430372820343608	21.477568917742	0.771524608663071
"Col11a1"	4.42379603417207	144269482.127265	-1.54262087076026	0.0365720012385953	21.4632409462591	0.717390046356839
"Pde4c"	4.41961623090731	4.43214806329246	4.14762049005886	0.0282746741365636	21.4011472330169	0.647962770096828
"AC117101.1"	4.41800573405315	144269482.121239	-1.54507404259923	0.170704713252009	21.3772702189476	0.999999955972958
"LOC688922"	4.35785905097466	144269482.058181	-1.5721185946712	0.0927817316705565	20.5043634448012	0.999999955972958
"Mmd2"	-4.31060483528785	-4.36268098811489	1.5149059441981	4.01727073082732e-06	-19.8436407008243	0.00206898847136185
"Serpinb5"	4.2858385497605	144269481.980306	-1.61600483185136	0.0933412211247576	19.5058985018033	0.999999955972958
"Zpbp"	4.27071774103437	144269481.965035	-1.61887285780115	0.0819452245421878	19.3025258646817	0.999999955972958
"LOC100359777"	4.26612771391604	144269481.960384	-1.61978573328711	0.0440800111257857	19.2412112263689	0.783471258383752
"Kcnq3"	4.26383521330847	144269481.958062	-1.6202420044059	0.0500225686783146	19.2106604453229	0.821548812229984
"Gp1ba"	4.26154439008669	144269481.955741	-1.62069816448912	0.0801086208819153	19.1801804724573	0.999999955972958
"RGD1562319"	4.24656526031702	144269481.940619	-1.6235585324544	0.0496175182048161	18.9820678711024	0.81930483774185
"Bex2"	4.24428861554543	144269481.938313	-1.62401385608043	0.0452843004074202	18.952136843249	0.790217032272782
"Ehhadh"	4.23153502253665	4.23158186448598	11.9911341227853	5.74576426215624e-05	18.7853360908142	0.0123695515013312
"Nefh"	4.21935075355641	144269481.910848	-1.64054067658479	0.0541154120197143	18.627352753461	0.851492082336844
"AABR07009978.1"	-4.21597248948659	-144269481.907888	-1.87952425366616	0.0458545665997061	-18.5837853363001	0.794981327120271
"LOC100360095"	-4.20374573518538	-4.20486311360284	6.86058694237896	0.0316915110567237	-18.4269543707858	0.689287923931504
"Noxo1"	-4.1559462925994	-144269481.844369	-1.89804253943936	0.0499554337497694	-17.8264347736931	0.821548812229984
"Scg3"	-4.15467030371419	-144269481.843079	-1.89819416453697	0.0436341383836941	-17.810675187655	0.779327259255435
"Ipcef1"	-4.15339500026145	-144269481.84179	-1.89834577601206	0.0496154015410195	-17.794937988463	0.81930483774185
"Riiad1"	4.13008764450436	144269481.818357	-1.66852988699129	0.161724644401321	17.509762915433	0.999999955972958
"RGD1564463"	4.12804520164313	4.2320678663372	0.983909603732132	0.0274866352469693	17.4849916461517	0.637258256599206
"Ppp1r3g"	4.12171649680898	4.27487568732213	0.479963002917539	0.0129655675854665	17.4084578043372	0.418689433613713
"LOC100362298"	-4.10020904180435	-144269481.785438	-1.91409778827664	0.0885333057186758	-17.1508603242506	0.999999955972958
"Car1"	-4.06550057427709	-4.51326342109986	-1.05850142992885	0.0028658559676892	-16.7431674333587	0.165841353138239
"Sorcs1"	4.06103628816006	144269481.74281	-1.70614016374902	0.0665606668752163	16.691437331519	0.955290840956105
"AC135265.1"	4.0540522453642	144269481.736583	-1.70412586291915	0.0590778620559365	16.6108298578529	0.888856539634146
"Btn2a2"	-4.0522122868148	-4.05764875110883	4.44939915862558	3.38467305167111e-10	-16.5896585387391	4.89660650385259e-06
"ERCC-00073"	4.05086875409825	144269481.732532	-1.70803882659883	0.0636927415646169	16.5742163467188	0.931691498701024
"Zfp663"	4.05086875409825	144269481.732532	-1.70803882659883	0.0636927415646169	16.5742163467188	0.931691498701024
"Scube1"	4.04074381647052	144269481.722298	-1.709935419454	0.0731898473919751	16.4583045180822	0.997961849405941
"Ano3"	4.04074381647052	144269481.722298	-1.709935419454	0.0731898473919751	16.4583045180822	0.997961849405941
"Ppapdc1a"	4.0312555759818	144269481.712683	-1.71176949978	0.109826178695504	16.3504175723163	0.999999955972958
"Sgpp2"	4.0312555759818	144269481.712683	-1.71176949978	0.109826178695504	16.3504175723163	0.999999955972958
"Arhgap20"	4.02829556746732	144269481.709712	-1.71228815161677	0.09319992498828	16.3169054586485	0.999999955972958
"Il27"	4.0281763882043	144269481.709707	-1.71185100790561	0.0877937267611565	16.3155575948295	0.999999955972958
"Gcsam"	4.02121018576864	144269481.702533	-1.71366208581	0.107145489225279	16.2369661312688	0.999999955972958
"Cd2"	3.94338061110208	144269481.618376	-1.74804517212578	0.0786807981654827	15.384232979732	0.999999955972958
"AABR07067600.1"	3.93865256514117	144269481.613313	-1.74987120228517	0.0785914323877353	15.333897808371	0.999999955972958
"Fam83f"	3.93524355356497	4.22447995483891	-0.370936872462102	0.0196869571242077	15.2977073990321	0.532357399468997
"Dkk4"	3.93247712342478	144269481.603829	-1.7615481611976	0.20394609629934	15.2684014900934	0.999999955972958
"Rn60_6_1181.1"	3.92536532975602	144269481.600011	-1.75188903929103	0.097119507215098	15.1933208115813	0.999999955972958
"Pnpla3"	3.91859475404582	3.92244953930061	5.31987138161279	0.0504394233403747	15.1221855236979	0.82359722061535
"LOC102549447"	3.91257790813748	144269481.586087	-1.757551064009	0.107475582939177	15.0592488767576	0.999999955972958
"AABR07002564.1"	3.9107199637488	144269481.584064	-1.75836550947104	0.111776737258434	15.0398676231692	0.999999955972958
"Tas2r143"	3.89442505423266	144269481.565802	-1.76704745406597	0.123135963829443	14.8709514988604	0.999999955972958
"Cyp4a1"	3.85515311593754	3.85524692274386	10.6033050946409	4.77201919116037e-09	14.4716058582186	9.64715611635818e-06
"Bmp3"	3.82864989930196	144269481.493202	-1.79667848656229	0.138758758238588	14.2081803973146	0.999999955972958
"LOC100359960"	3.82858816866476	144269481.495047	-1.79143669626429	0.12761103701173	14.2075724647714	0.999999955972958
"Upp2"	3.82530570968405	3.82785648833551	5.8116226807099	0.128468435425444	14.1752837556305	0.999999955972958
"Dnaaf1"	3.80996719335785	144269481.474312	-1.80003715655114	0.119443067093578	14.0253726028204	0.999999955972958
"Lin9"	3.80993262454916	144269481.474434	-1.79959724086604	0.117148657470071	14.0250365410749	0.999999955972958
"Gjb6"	3.80747141108022	144269481.47178	-1.80049977170242	0.0825601404859896	14.0011304621648	0.999999955972958
"Ly6g6f"	3.80747141108022	144269481.47178	-1.80049977170242	0.0825601404859896	14.0011304621648	0.999999955972958
"Cxcr2"	3.8024870834615	144269481.466725	-1.8014246488139	0.117488362633726	13.9528418032741	0.999999955972958
"Izumo1"	3.79944089579292	144269481.463667	-1.80194511915807	0.13029743250012	13.9234120669713	0.999999955972958
"Prrt2"	3.79944089579292	144269481.463667	-1.80194511915807	0.13029743250012	13.9234120669713	0.999999955972958
"Tesc"	3.79695601387071	144269481.461147	-1.80240723503173	0.0882526955476708	13.8994511775077	0.999999955972958
"Hsd3b1"	3.79591449808819	3.89845967610908	0.715433222373752	0.157372167204847	13.8894204550382	0.999999955972958
"Cel"	3.79447353963776	144269481.45863	-1.80286923334982	0.078255565681455	13.8755546791516	0.999999955972958
"Crispld1"	3.79447353963776	144269481.45863	-1.80286923334982	0.078255565681455	13.8755546791516	0.999999955972958
"Gabrp"	3.79199347261159	144269481.456115	-1.80333111415457	0.0868057041987303	13.8517223768738	0.999999955972958
"Tmem179"	3.79199347261159	144269481.456115	-1.80333111415457	0.0868057041987303	13.8517223768738	0.999999955972958
"Fjx1"	3.79199347261159	144269481.456115	-1.80333111415457	0.0868057041987303	13.8517223768738	0.999999955972958
"Stx11"	3.78951581228579	144269481.453603	-1.80379287748826	0.127765307677666	13.8279540760969	0.999999955972958
"AABR07052431.1"	3.78951581228579	144269481.453603	-1.80379287748826	0.127765307677666	13.8279540760969	0.999999955972958
"Lancl3"	3.78896360288867	144269481.453074	-1.80385096638184	0.180348183769401	13.8226622682089	0.999999955972958
"LOC100909605"	3.78896360288867	144269481.453074	-1.80385096638184	0.180348183769401	13.8226622682089	0.999999955972958
"AABR07041604.1"	3.78896360288867	144269481.453074	-1.80385096638184	0.180348183769401	13.8226622682089	0.999999955972958
"Rn60_19_0291.1"	3.78648958773575	144269481.450566	-1.80431258381632	0.12650619102442	13.7989786969713	0.999999955972958
"Lipg"	3.78401797514904	144269481.44806	-1.80477408388378	0.111541109224852	13.7753586453857	0.999999955972958
"Dclk3"	3.78154876455141	144269481.445557	-1.80523546662647	0.110857400926248	13.7518019206193	0.999999955972958
"Ces2e"	3.77918290246485	3.78284005764708	5.25242149032633	0.13425063280238	13.7292689502901	0.999999955972958
"Neil2"	3.77417933971574	4.06165629686112	-0.463662356869652	0.0041124317595353	13.6817355009389	0.212553276396663
"Sox10"	-3.76838634748694	-144269481.430067	-2.00535481234709	0.110719677102439	-13.6269080623953	0.999999955972958
"Npas4"	-3.76838634748694	-144269481.430067	-2.00535481234709	0.110719677102439	-13.6269080623953	0.999999955972958
"Np4"	-3.76838634748694	-144269481.430067	-2.00535481234709	0.110719677102439	-13.6269080623953	0.999999955972958
"Kcnj3"	-3.76704794406374	-144269481.428713	-2.00550719170143	0.0765391119084142	-13.614272098061	0.999999955972958
"Nmur1"	-3.76704794406374	-144269481.428713	-2.00550719170143	0.0765391119084142	-13.614272098061	0.999999955972958
"Morc1"	-3.76704794406374	-144269481.428713	-2.00550719170143	0.0765391119084142	-13.614272098061	0.999999955972958
"Slc35f1"	-3.76704794406374	-144269481.428713	-2.00550719170143	0.0765391119084142	-13.614272098061	0.999999955972958
"Alk"	-3.76571039120951	-144269481.42736	-2.00565955714048	0.0762940954770549	-13.6016558699272	0.999999955972958
"Tmem44"	-3.76571039120951	-144269481.42736	-2.00565955714048	0.0762940954770549	-13.6016558699272	0.999999955972958
"Myoc"	-3.76571039120951	-144269481.42736	-2.00565955714048	0.0762940954770549	-13.6016558699272	0.999999955972958
"Ly6g5b"	-3.76571039120951	-144269481.42736	-2.00565955714048	0.0762940954770549	-13.6016558699272	0.999999955972958
"Fgf2"	-3.76571039120951	-144269481.42736	-2.00565955714048	0.0762940954770549	-13.6016558699272	0.999999955972958
"LOC102550396"	-3.76437368845201	-144269481.426007	-2.00581190866618	0.109970257287327	-13.5890593403872	0.999999955972958
"Brinp3"	-3.76437368845201	-144269481.426007	-2.00581190866618	0.109970257287327	-13.5890593403872	0.999999955972958
"Slpil2"	-3.76437368845201	-144269481.426007	-2.00581190866618	0.109970257287327	-13.5890593403872	0.999999955972958
"Trem1"	-3.76437368845201	-144269481.426007	-2.00581190866618	0.109970257287327	-13.5890593403872	0.999999955972958
"Abhd3"	3.72494151909564	3.76398229448884	1.83877814636072	0.180677986172436	13.222669087156	0.999999955972958
"Elovl6"	3.71882284880164	3.72362304534492	4.79925316071255	0.000578961201333477	13.1667086606293	0.0547439980371988
"RGD1559955"	3.7180500155979	144269481.37649	-1.82891196715682	0.18400712147563	13.159657312737	0.999999955972958
"AABR07068154.1"	3.69087222838416	144269481.346143	-1.84033680251195	0.136442183107192	12.9140734125176	0.999999955972958
"AABR07039648.1"	3.68407105524492	144269481.339887	-1.84018104749183	0.131416850307205	12.853336981769	0.999999955972958
"Coro2a"	3.66793269821666	3.76965831975898	0.588758816741624	9.74295311545518e-05	12.7103574490063	0.0158372250248641
"Tmc5"	3.64000911980433	144269481.290972	-1.85734691980841	0.0962679661844623	12.466712080977	0.999999955972958
"Rpl5l1"	3.62838623325975	144269481.278529	-1.8608082897133	0.0989333609576591	12.3666791152222	0.999999955972958
"Sidt1"	3.6274075988003	3.91247388677326	-0.575713725350764	0.00703270473498762	12.3582931749236	0.28659757577765
"Nr1d1"	3.6123144583665	3.61411727409306	6.0954865468255	0.00497256363330889	12.2296775286696	0.235091758441437
"Rasd2"	3.60922891217546	3.71053162480574	0.52939952940161	0.000667075787730554	12.2035494075373	0.0592060455282081
"LOC688776"	3.57709096388107	144269481.223318	-1.87636867004872	0.191944401354681	11.9347046891435	0.999999955972958
"AABR07032255.2"	3.56780127874278	144269481.213177	-1.8793878200425	0.192434412280487	11.8581025943604	0.999999955972958
"AC128967.1"	3.5496331792652	144269481.193527	-1.88489834482448	0.146572273977244	11.7097078698251	0.999999955972958
"Sox14"	3.52706549285852	144269481.165886	-1.89699249851049	0.164052106456796	11.5279613043494	0.999999955972958
"Igfn1"	3.52445723771596	144269481.163239	-1.89745900292869	0.163323029590941	11.5071386772803	0.999999955972958
"Kcnj9"	3.51355496248887	144269481.152208	-1.89937964717355	0.117704329532302	11.4205083356549	0.999999955972958
"Scrt2"	3.51355496248887	144269481.152208	-1.89937964717355	0.117704329532302	11.4205083356549	0.999999955972958
"AABR07002659.1"	3.51181304868367	144269481.151011	-1.89878615801849	0.156009306563699	11.4067275048876	0.999999955972958
"Hif3a"	3.51096364330132	144269481.149578	-1.89984551671642	0.148701289057842	11.4000136230347	0.999999955972958
"AC110351.1"	3.50529398602837	144269481.143859	-1.90083264537378	0.156657054919014	11.3553005468885	0.999999955972958
