""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"AABR07073045.1"	10.8885072683205	144269488.614753	3.74818017724058	0.221217026561493	1895.6898980223	0.99998775872457
"Echs1"	10.0413970795158	144269487.767045	2.92274006151694	0.203119569318891	1053.8085534912	0.99998775872457
"Cpne1"	9.35814923252481	14.0514851149967	2.275019996932	0.230331200897694	656.27161846348	0.99998775872457
"Gng13"	9.07512115173189	144269486.799411	1.95499274940631	0.166103210250803	539.366142308257	0.99998775872457
"Grin2c"	8.82098718138672	144269486.544768	1.71986301566662	0.00252079149353812	452.253287986231	0.144598800074315
"AC128618.1"	8.36995601062274	8.39125730286833	7.29744180290963	3.3125890776542e-07	330.832237046342	0.000326198007785671
"Rpl30"	-8.16380958838164	-8.37302741758017	3.33797603446257	0.0847775322801133	-286.781785936066	0.99998775872457
"RGD1561381"	7.5185893482142	144269485.237524	0.496299952911465	0.188614191410467	183.366889877103	0.99998775872457
"LOC680441"	7.40840798781312	144269485.126849	0.435596507811268	0.0096601702675465	169.884213712521	0.350156478511783
"Mlc1"	-7.29201214998666	-7.74984045960972	1.52797472144895	0.0673459473013284	-156.716378044534	0.972074035762252
"LOC687679"	7.23476128817328	144269484.951906	0.247358363189827	0.350119952827141	150.619138493469	0.99998775872457
"LOC681458"	6.56909368448588	144269484.280505	-0.28544428829632	0.0380341481999181	94.9498413365212	0.747400528651384
"AABR07037356.1"	6.54101588983456	144269484.253091	-0.209959549309426	0.310072325248357	93.1197893677804	0.99998775872457
"Aldh18a1"	-6.52882012007894	-144269484.240169	-0.708716011431608	0.203612278525097	-92.3359224975477	0.99998775872457
"AABR07016863.2"	6.51246689543637	144269484.223582	-0.296052326988257	0.000207738793894652	91.2951867416491	0.0230135632611419
"AC111278.1"	-6.50991259792151	-6.547137889579	4.07732263886836	0.0602823880110266	-91.1336912437282	0.924825339676612
"Chid1"	6.50130456988768	144269484.212963	-0.241348273740485	0.307857040209271	90.5915491835906	0.99998775872457
"Lingo4"	-6.49996913991756	-144269484.210983	-0.731135999982883	0.00541605556354831	-90.507731958369	0.243803709952418
"Ciart"	6.32680696106887	144269484.036019	-0.414620258371268	0.0010424964918147	80.2709997585152	0.0779673009173653
