	logFC	t	P.Value	adj.P.Val	B
awesome1	10.1841530643352	1.64312468726565	0.18872008083136	0.18872008083136	-6.5703710329059
Dmrta1	8.14771606695346	13.8859886346756	0.000427475629651609	0.000427475629651609	0.85642123956374
Pou4f2	7.71937705935426	16.5450105253209	0.000238310802466519	0.000238310802466519	1.54144942985817
Ina	7.49632000814421	3.59566331490873	0.0303794605253252	0.0303794605253252	-4.42053046723898
Lrrc43	-7.31996172008007	-7.81470548440871	0.00282990596076754	0.00282990596076754	-1.45935678736136
Scn4a	-7.06636627138958	-4.85302952351611	0.0126487728298491	0.0126487728298491	-3.33308255294192
Tdrd6	6.57194698909929	227.25164141681	3.50033304017187e-08	3.50033304017187e-08	6.30777296099358
Stac3	-6.47690099369832	-3.96762040687203	0.0229626802882127	0.0229626802882127	-4.07499633759351
Tmem130	-6.44225607745259	-6.70037290168368	0.00463540087150859	0.00463540087150859	-2.07639990389024
Plch1	6.26746679623291	213.829187953803	4.29874551735249e-08	4.29874551735249e-08	6.29583291213469
Sox11	6.11518716762162	5.99863527778294	0.00657605023710766	0.00657605023710766	-2.51447532088096
Vsx2	-6.08273811672864	-6.87043191812898	0.00427956263519927	0.00427956263519927	-1.9764024067536
Dlx3	-6.02369756236364	-13.8068440979537	0.000435683930831196	0.000435683930831196	0.833783744245105
C2	5.99428018022094	48.1466193874581	6.57491321734564e-06	6.57491321734564e-06	4.90580230590217
Tram1l1	-5.9625550601964	-3.8657833059926	0.0247447967387848	0.0247447967387848	-4.16747957432697
Neurod2	-5.94505550018911	-5.25099074927394	0.00994487818253125	0.00994487818253125	-3.03243231930977
Olfm3	-5.84554641184306	-1.64289884870147	0.188766390396047	0.188766390396047	-6.57063756763247
Slc35f1	5.79282451857267	192.363223651239	6.14326834142272e-08	6.14326834142272e-08	6.27149439838523
Nlrp6	-5.73671730702424	-1.6420058690547	0.18894962253824	0.18894962253824	-6.57169142328158
Pnpla5	5.71314677861485	2.9031569378716	0.0540384594322228	0.0540384594322228	-5.12284734184758
Lingo2	-5.66093710234494	-1.64080125165819	0.189197107152227	0.189197107152227	-6.57311296076016
Kirrel3	5.61542777148032	184.200728461729	7.11131309256443e-08	7.11131309256443e-08	6.26002709933673
ERCC-00104	-5.57892090925005	-3.98801380889851	0.0226252681210818	0.0226252681210818	-4.05666388839988
Fam184b	5.52439489022563	2.14115838287302	0.111647367028437	0.111647367028437	-5.98107474853337
Rnf186	5.45727657358449	10.2574736031753	0.00116510137565017	0.00116510137565017	-0.358757797491014
Colq	5.45453295124078	10.5405721624107	0.00106522746703297	0.00106522746703297	-0.248637731990371
Mir23a	-5.36116042982072	-1.42304215668666	0.240216266085248	0.240216266085248	-6.82730596526525
Grm1	-5.35820457452551	-1.54209002038413	0.210720719851995	0.210720719851995	-6.68912933018871
Smyd1	5.25057894239156	2.75207845999295	0.0619096289545981	0.0619096289545981	-5.2863991849029
Faxc	-5.21585737797687	-12.676290783283	0.00057871175715065	0.00057871175715065	0.493735194156047
Kcng1	5.18893661970071	164.207115721324	1.04797069727239e-07	1.04797069727239e-07	6.22474299871802
Crispld1	-5.17627884638786	-15.190726408887	0.000316933406797863	0.000316933406797863	1.20986274523277
Grm2	-5.17305520397865	-1.64317256512016	0.188710264777342	0.188710264777342	-6.57031452693855
