	logFC	t	P.Value	adj.P.Val	B
Stac3	-7.01831539149085	-3.82463122796439	0.0256895869929403	0.0256895869929403	-5.28759361359993
Tmem178b	-6.71107124445465	-16.9039343120983	0.000227171976650829	0.000227171976650829	0.740181670046015
Colq	6.28858479965094	13.6469023402532	0.000462599918033231	0.000462599918033231	-0.169326485468924
C2	5.99485066552172	57.9939291577363	3.65246006568056e-06	3.65246006568056e-06	5.78856363027733
Grin2a	5.92682480271441	359.599280369519	7.92140528324325e-09	7.92140528324325e-09	9.71181423820178
Slc35f1	5.71357084365933	353.788472084231	8.36739037754786e-09	8.36739037754786e-09	9.7021005737092
Cpamd8	5.64629137415437	1.63932611637695	0.189814739583077	0.189814739583077	-7.66333275890011
Lrrtm3	-5.6100104547133	-38.4868191534549	1.44726510944197e-05	1.44726510944197e-05	4.18470679686756
Krt23	5.59730687318133	20.7832666313865	0.000114029728104182	0.000114029728104182	1.6172744189118
Gpr83	5.53977230966666	349.632460428346	8.70651667911162e-09	8.70651667911162e-09	9.6948821748818
Kirrel3	5.53604247965081	349.602628243801	8.70901482397015e-09	8.70901482397015e-09	9.69482951606402
LOC100360095	-5.47167455480812	-3.53674393025197	0.0320110729300912	0.0320110729300912	-5.56074091949727
Scn9a	-5.45617456453638	-1.63974939290984	0.189727604174553	0.189727604174553	-7.66283255610393
Dbp	5.30731002430973	11.9149754787125	0.00072460316238777	0.00072460316238777	-0.744571913938445
Rnf186	5.29852009350058	10.4606601262909	0.00111199643987111	0.00111199643987111	-1.29396828692007
Kcnj11	5.26155827137744	344.672340854025	9.13498242049743e-09	9.13498242049743e-09	9.68595616010809
Dgkb	5.17409534051843	6.46215109339228	0.00526415059628593	0.00526415059628593	-3.28489222794082
Crispld1	-5.15795221501196	-19.1549327775552	0.000149740763819557	0.000149740763819557	1.27125604338988
awesome1	5.1307489923217	0.820029217567876	0.466319616219443	0.466319616219443	-8.54661694564437
Fat3	-5.12323860703172	-1.63992368278105	0.189691737654951	0.189691737654951	-7.66262658662816
Kcng1	5.10914629135306	342.944956346577	9.29060509374784e-09	9.29060509374784e-09	9.6827652159058
Abca13	-5.06880788636248	-1.63834396999236	0.190017091568059	0.190017091568059	-7.66449334510923
Atp2b3	-5.02379618930794	-6.6363144859395	0.004839502354765	0.004839502354765	-3.1775620462383
Dcaf12	4.99177305326561	14.8300980624852	0.00035108511566473	0.00035108511566473	0.18383220237698
Sorcs1	-4.98121199789	-5.22135157087473	0.010220179847635	0.010220179847635	-4.12862576730809
Plekhd1	4.96268570742782	3.87137256520122	0.0248152204833919	0.0248152204833919	-5.24445005444829
Aqp3	4.91485480324149	4.03900414146076	0.0219696338616906	0.0219696338616906	-5.09241156910502
Pnpla5	4.78184232214612	2.31782053658731	0.09382922782036	0.09382922782036	-6.86252580883696
Kcnq3	-4.69626264711845	-10.2336130201162	0.00119495295128685	0.00119495295128685	-1.38627155424207
Slc12a3	4.66202706994742	6.3385329383515	0.00559479817175525	0.00559479817175525	-3.3625856938558
Tsx	4.63848238370511	6.32661785053322	0.00562805416088867	0.00562805416088867	-3.37014225147728
RGD1305928	4.62463826657259	4.10251381336836	0.0209989166402735	0.0209989166402735	-5.0358894985831
Hdc	4.60313444739657	6.44979811588581	0.00529604841323558	0.00529604841323558	-3.29259872299421
Per3	4.58905137423266	12.291365006774	0.00065390820666681	0.00065390820666681	-0.612926709132587
Ropn1l	4.53615542598062	4.62219350045458	0.0147769854925079	0.0147769854925079	-4.59456526880292
Cpeb1	-4.49746188647942	-8.18792600095475	0.00246992906568049	0.00246992906568049	-2.31725588139193
Tenm4	4.4857757702492	1.58298200572141	0.201811119531801	0.201811119531801	-7.72977400795993
Sema3e	-4.44907893533936	-4.51901638195528	0.0158053221169977	0.0158053221169977	-4.67928637564423
Gng13	4.42370432024952	2.97844021442467	0.0508147309402002	0.0508147309402002	-6.12812623204208
Dscaml1	-4.40195917947636	-1.6398763991982	0.189701467252163	0.189701467252163	-7.66268246489898
Slc7a9	4.39696224471467	349.767868281775	8.69518931551413e-09	8.69518931551413e-09	9.69512103910776
Aldh3a1	-4.36791233135912	-29.9872590778462	3.34242475280668e-05	3.34242475280668e-05	3.15883175421018
Rab6b	4.33430246905321	2.29669572347027	0.0958056708885361	0.0958056708885361	-6.88699426456612
Apoa4	-4.32653550223405	-8.99183811941209	0.00182306795527901	0.00182306795527901	-1.9280582604645
